"id","type","city","country","latitude","longitude","timezone","state","created_at","updated_at"
203,"city","Dharampuri","India","22.156031","75.350032","Asia/Kolkata","Madhya Pradesh","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
204,"city","Dharangaon","India","21.003112","75.27832","Asia/Kolkata","MH","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
205,"city","Dharni","India","21.551232","76.890332","Asia/Kolkata","MP","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
206,"city","Dhinoj","India","23.66401","72.27216","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
207,"city","Dholka","India","22.729488","72.443419","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
208,"city","Dhrangadhra","India","22.98804","71.46124","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
209,"city","Dhulia","India","20.90195","74.77087","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
210,"city","Diego Suarez","Madagascar","-12.24","49.18","Europe/Moscow","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
211,"city","Doha","Qatar","25.280929","51.517746","Asia/Tehran","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
212,"city","Dohad Ezzy","India","22.832785","74.256222","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
213,"city","Dohad Saifee+burhani","India","22.832785","74.256222","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
214,"city","Dombivali","India","19.21079","73.08295","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
215,"city","Dondaicha","India","21.325443","74.568404","Asia/Kolkata","Maharashtra","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
216,"city","Dr. D.N Road - Mumbai","India","18.936819","72.834601","Asia/Kolkata","Maharashtra","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
217,"city","Dubai","UAE","25.285844","55.368755","Asia/Dubai","Dubai","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
218,"city","Dublin","Ireland","53.405349","-6.362286","Europe/Dublin","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
219,"city","Dundalk","Ireland","54.01","-6.25","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
220,"city","Dungarpur","India","23.83148","73.71469","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
221,"city","Durban","South Africa","-29.29","31","Africa/Blantyre","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
222,"city","Durgapur","India","23.522441","87.313842","Asia/Kolkata","WB","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
223,"city","Durham - NC","USA","36","-78.55","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
224,"city","Dzaoudzi","Mayotte","-12.47","45.17","Africa/Addis_Ababa","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
225,"city","E. Brunswick","USA","40.414971","-74.4434","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
226,"city","E. Stroudsburg","USA","41","-75.11","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
227,"spot","East London Markaz","UK","51.618453","0.1072","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
228,"city","Eastbourne","UK","50.46","0.17","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
229,"city","Edinburgh","UK","55.57","-3.13","Europe/London","Scotland","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
